Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Learning Rate
1,2.5790045204402516,0.19568733153638815,2.4939043789788804,0.2255456750202102,0.001
2,2.4257568578728663,0.23881401617250675,2.3390527106911883,0.25060630557801133,0.001
3,2.3071456648697213,0.2706199460916442,2.261405728956144,0.2772837510105093,0.001
4,2.194444736915993,0.30296495956873315,2.1806689966274253,0.30315278900565884,0.001
5,2.075286037174304,0.3336927223719677,2.041220292605598,0.3257881972514147,0.001
6,1.976493886174753,0.36208445642407905,1.9865434503208368,0.34438156831042843,0.001
7,1.896279586421833,0.3829290206648697,1.9133496172696038,0.39531123686337916,0.001
8,1.8131306856469003,0.4109613656783468,1.8222620724282539,0.39126919967663704,0.001
9,1.7190488474281223,0.4400718778077269,1.730910453087106,0.43896523848019403,0.001
10,1.6187433316486972,0.4766397124887691,1.6794374384220898,0.4688763136620857,0.001
11,1.5048227973382748,0.5111410601976639,1.6992546704476557,0.47130153597413094,0.001
12,1.3832240952100179,0.5544474393530997,1.6368305573274555,0.46402586903799514,0.001
13,1.2473151989274482,0.6012578616352201,1.4810924237065481,0.5319320937752627,0.001
14,1.1225631563061544,0.6398023360287511,1.477739980168755,0.5383993532740501,0.001
15,0.9686828777796496,0.6878706199460917,1.470548785494139,0.5586095392077607,0.001
16,0.8406415831367925,0.7282120395327942,1.4718559345316289,0.5828617623282134,0.001
17,0.6900177851948562,0.7779874213836478,1.4552648323817705,0.5860953920776071,0.001
18,0.5739207361157906,0.8189577717879605,1.4325546227642483,0.6168148746968473,0.001
19,0.4608857325359389,0.852021563342318,1.6131942119922191,0.5925626515763945,0.001
20,0.37140466187949234,0.8786163522012579,1.6423598392027081,0.5909458367016976,0.001
21,0.30839146205357143,0.8975741239892183,1.5544062547367623,0.6111560226354082,0.001
22,0.24492299370367251,0.9225516621743037,1.6603796672898141,0.6216653193209377,0.001
23,0.21312088053824124,0.9347708894878706,1.7018784420472919,0.624090541632983,0.001
24,0.18291544267323676,0.941958670260557,1.8593132247246362,0.597413096200485,0.001
25,0.1622547406713275,0.9485175202156334,1.8176131375682094,0.624090541632983,0.001
26,0.1492508633760108,0.9515723270440252,1.902496707950182,0.6216653193209377,0.001
27,0.13346651390877695,0.9573225516621743,1.8493233929744342,0.6192400970088925,0.001
28,0.11534693633128369,0.9641509433962264,1.9308746510585084,0.6289409862570736,0.001
29,0.0997990830139544,0.970440251572327,1.9861208916481408,0.6289409862570736,0.001
30,0.09804062342065364,0.9703504043126685,1.9789196313535773,0.624090541632983,0.001
31,0.09556517348242363,0.9707097933513028,2.0529266086044866,0.6151980598221504,0.001
32,0.10023568454135781,0.9690925426774484,2.0715951757654607,0.635408245755861,0.001
33,0.09339998833038522,0.9702605570530098,2.0117108553961196,0.6305578011317704,0.001
34,0.10057019887480347,0.9669362084456424,2.127237330739693,0.6176232821341956,0.001
35,0.08338270984248652,0.9735849056603774,2.074284472577304,0.629749393694422,0.001
36,0.08219065978949068,0.9733153638814016,2.056447009839834,0.6345998383185125,0.001
37,0.07586298117419138,0.9746630727762803,2.099058134284054,0.6345998383185125,0.001
38,0.07265163260543014,0.977538185085355,2.0796535926763338,0.6208569118835894,0.0005
39,0.04323078439991858,0.9861635220125786,2.035593413689875,0.6410670978172999,0.0005
40,0.025430253980830243,0.9934411500449236,2.0023942359918148,0.6499595796281326,0.0005
41,0.01945341646617742,0.9947888589398023,2.036361163917239,0.6531932093775262,0.0005
42,0.020613545077616098,0.9938903863432166,2.031515061325283,0.6475343573160873,0.0005
43,0.01618057209847751,0.995058400718778,2.0747137416632984,0.6394502829426031,0.0005
